id,epic_id,initiative_id,title,source_refs
"I01-E01-F01","I01-E01","I01","Repository baseline","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E01-F02","I01-E01","I01","Product navigation","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E01-F03","I01-E01","I01","Configuration registry","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E01-F04","I01-E01","I01","Reference data model","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I01-E02-F01","I01-E02","I01","Trade setup builder","The-Complete-Guide-to-Trading.pdf; mtm_251058.pdf; My Learnings - Profitable Trading Strategies.pdf"
"I01-E02-F02","I01-E02","I01","Entry exit checklist","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E02-F03","I01-E02","I01","Signal review","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E02-F04","I01-E02","I01","Trading calendar","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E03-F01","I01-E03","I01","Instrument profile","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E03-F02","I01-E03","I01","Multi-timeframe chart shell","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E03-F03","I01-E03","I01","Watchlist manager","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E03-F04","I01-E03","I01","Annotations","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E04-F01","I01-E04","I01","Journal schema","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I01-E04-F02","I01-E04","I01","Trade review","The-Complete-Guide-to-Trading.pdf; mtm_251058.pdf; My Learnings - Profitable Trading Strategies.pdf"
"I01-E04-F03","I01-E04","I01","Mistake taxonomy","The-Complete-Guide-to-Trading.pdf; mtm_251058.pdf; My Learnings - Profitable Trading Strategies.pdf"
"I01-E04-F04","I01-E04","I01","Performance tags","The-Complete-Guide-to-Trading.pdf; mtm_251058.pdf; My Learnings - Profitable Trading Strategies.pdf"
"I01-E05-F01","I01-E05","I01","Strategy catalog","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E05-F02","I01-E05","I01","Strategy approvals","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E05-F03","I01-E05","I01","Versioning","indicators.pdf; Technical-analysis-Indicators.pdf; Understanding-Indicators-TA.pdf"
"I01-E05-F04","I01-E05","I01","Source traceability","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E06-F01","I01-E06","I01","Angular shell","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E06-F02","I01-E06","I01","Dashboard layout","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E06-F03","I01-E06","I01","Responsive tables","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E06-F04","I01-E06","I01","Export flows","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I02-E01-F01","I02-E01","I02","NIFTY feed","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E01-F02","I02-E01","I02","BANKNIFTY feed","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E01-F03","I02-E01","I02","FINNIFTY feed","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E01-F04","I02-E01","I02","India VIX feed","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E02-F01","I02-E02","I02","GIFT NIFTY","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E02-F02","I02-E02","I02","US indices","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E02-F03","I02-E02","I02","Asia Europe indices","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E02-F04","I02-E02","I02","Commodity feeds","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E03-F01","I02-E03","I02","USDINR","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E03-F02","I02-E03","I02","US 10Y yield","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E03-F03","I02-E03","I02","RBI calendar","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E03-F04","I02-E03","I02","Fed calendar","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E04-F01","I02-E04","I02","FII ingestion","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E04-F02","I02-E04","I02","DII ingestion","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I02-E04-F03","I02-E04","I02","Net flow calculation","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
