id,title,source_refs
"I01","Trading Core Platform","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I02","Market Intelligence Platform","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I03","Technical Analysis Platform","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I04","Options And Futures Platform","Module-5_Options-Theory-for-Professional-Trading.pdf"
"I05","Quantitative Research Platform","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I06","AI And Machine Learning Platform","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I07","Portfolio And Risk Platform","Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Presentation_on_Basics_of_Stock_Selection.pdf"
"I08","Execution And Broker Platform","The-Complete-Guide-to-Trading.pdf; mtm_251058.pdf; My Learnings - Profitable Trading Strategies.pdf"
"I09","News And Sentiment Platform","idirect_marketstrategy_2026.pdf; IJNRD2205074.pdf"
"I10","Institutional Analytics Platform","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
