id,feature_id,epic_id,initiative_id,title,phase,points,source_refs
"I01-E01-F01-S1","I01-E01-F01","I01-E01","I01","Store Repository baseline","MVP","3","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E01-F01-S2","I01-E01-F01","I01-E01","I01","Validate Repository baseline","MVP","5","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E01-F01-S3","I01-E01-F01","I01-E01","I01","Expose Repository baseline","Phase 2","8","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E01-F02-S1","I01-E01-F02","I01-E01","I01","Validate Product navigation","Phase 2","13","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E01-F02-S2","I01-E01-F02","I01-E01","I01","Expose Product navigation","Phase 3","3","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E01-F02-S3","I01-E01-F02","I01-E01","I01","Monitor Product navigation","Institutional","5","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E01-F03-S1","I01-E01-F03","I01-E01","I01","Expose Configuration registry","Future","8","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E01-F03-S2","I01-E01-F03","I01-E01","I01","Monitor Configuration registry","MVP","13","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E01-F03-S3","I01-E01-F03","I01-E01","I01","Backtest Configuration registry","MVP","3","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I01-E01-F04-S1","I01-E01-F04","I01-E01","I01","Monitor Reference data model","Phase 2","5","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I01-E01-F04-S2","I01-E01-F04","I01-E01","I01","Backtest Reference data model","Phase 2","8","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I01-E01-F04-S3","I01-E01-F04","I01-E01","I01","Document Reference data model","Phase 3","13","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I01-E02-F01-S1","I01-E02-F01","I01-E02","I01","Backtest Trade setup builder","Institutional","3","rf-v2017-n4-1-pdf.pdf; ssrn-3138630.pdf; ssrn-3247865.pdf"
"I01-E02-F01-S2","I01-E02-F01","I01-E02","I01","Document Trade setup builder","Future","5","The-Complete-Guide-to-Trading.pdf; mtm_251058.pdf; My Learnings - Profitable Trading Strategies.pdf"
"I01-E02-F01-S3","I01-E02-F01","I01-E02","I01","Secure Trade setup builder","MVP","8","The-Complete-Guide-to-Trading.pdf; mtm_251058.pdf; My Learnings - Profitable Trading Strategies.pdf"
"I01-E02-F02-S1","I01-E02-F02","I01-E02","I01","Document Entry exit checklist","MVP","13","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E02-F02-S2","I01-E02-F02","I01-E02","I01","Secure Entry exit checklist","Phase 2","3","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E02-F02-S3","I01-E02-F02","I01-E02","I01","Build Entry exit checklist","Phase 2","5","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E02-F03-S1","I01-E02-F03","I01-E02","I01","Secure Signal review","Phase 3","8","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E02-F03-S2","I01-E02-F03","I01-E02","I01","Build Signal review","Institutional","13","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E02-F03-S3","I01-E02-F03","I01-E02","I01","Store Signal review","Future","3","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E02-F04-S1","I01-E02-F04","I01-E02","I01","Build Trading calendar","MVP","5","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E02-F04-S2","I01-E02-F04","I01-E02","I01","Store Trading calendar","MVP","8","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E02-F04-S3","I01-E02-F04","I01-E02","I01","Validate Trading calendar","Phase 2","13","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
"I01-E03-F01-S1","I01-E03-F01","I01-E03","I01","Store Instrument profile","Phase 2","3","4823_Technical Analysis.pdf; Everything_you_need_to_know_about_investing-Advanced_series_eBook.pdf; Idenitfying-Chart-Patterns.pdf"
